Number;Name;Type;Quotations;Groups;Comment;Creator;Creation Date;Modifier;Modification Date;Origin
21;Enosh, Bayer-Topilsky - 2015 - Reasoning and bias Heuristics in safety assessment and placement decisions for children at risk.pdf;PDF;225;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: Whether the decision-making process for children at risk is biased against families from lower socio-economic or minority statuses  Participants/ Sample: 105 Child Welfare Case Workers analysing 840 cases Methodology: Quantitative Research tools: vignette-based factorial survey Findings: Children of minority and low socio-economic groups were more likely to be assessed as being at risk and were more likely to be removed from the home.  Locality/ Context: Israel;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
23;Font, Maguire-Jack - 2015 - Reprint of Decision-making in child protective services Influences at multiple levels of the social ecology.pdf;PDF;272;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: SA Statistical Analysis;Aim/ Question: explore how these factors are associated with two key case decisions substantiation and removal to out-of-home care. Participants/ Sample: National Survey of Child and Adolescent Well-Being / a nationally representative sample of CPS investigations n=5873 Methodology: Quantitative / Secondary Analysis Research tools:  Findings: substantiation is strongly influenced by agency factors, particularly constraints on service accessibility. Substantiation is less likely when agencies can provide services to unsubstantiated cases and when collaboration with other social institutions is high Locality/ Context: USA;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
26;Gillingham - 2011 - Decision-making tools and the development of expertise in child protection practitioners are we ‘just breeding w.pdf;PDF;172;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: the use of a particular set of decision-making tools that provide insights into how tools might affect the professional development of practitioners Participants/ Sample: 46 Practitioners Methodology: Ethnographic research Research tools: Observation, Case files  Findings: the use of decision-making tools may impair professional development draws attention to the importance of the process of implementation Locality/ Context: Australia;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
28;Gillingham, Humphreys - 2010 - Child Protection Practitioners and Decision-Making Tools Observations and Reflections from the Front Line.pdf;PDF;225;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: How child protection prac- titioners in the Department of Child Safety, Queensland, Australia, used four Structured Decision Making tools developed by the Children’s Research Centre in Wisconsin in their daily practice in the intake and investigation stages of a case Participants/ Sample: Child Protection Practitioners Methodology: Ethnographic Research Research tools: Interviews Findings: tools were not being used as intended by their designers and, in fact, tended to undermine the development of expertise  Locality/ Context: Australia Same data as other article.;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
29;Graham et al. - 2015 - The Decision Making Ecology of placing a child into foster care A structural equation model.pdf;PDF;284;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: Factors influencing placement decisions Participants/ Sample: 1,103 CPS investigative caseworkers in Texas Methodology: Quantitative Research tools: Survey Findings: Case factors, even as aggregated to the worker level, were of most importance Locality/ Context: USA;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
30;Hackett, Taylor - 2014 - Decision Making in Social Work with Children and Families The Use of Experiential and Analytical Cognitive Proc.pdf;PDF;294;Appr: MM Mixed Methods, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: the use of experiential and analytical decision making and the effects of case and environmental characteristics Participants/ Sample: 98 Core Assessments Methodology: Mixed Methods Research tools: Documentary analysis of ninety-eight core assessments of children and families Findings: decision making was primarily experiential, relying on social workers’ prior casework experience and intuition, there was fluidity between modes of cognition Locality/ Context: UK;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
33;Helm - 2016 - Sense-making in a social work office An ethnographic study of safeguarding judgements.pdf;PDF;172;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question:  practices which practitioners employed in making sense of information about children and young people’s needs. Participants/ Sample: Social Work Teams Methodology: Ethnographic Research tools: non-participatory Observation Findings: initial statements in dialogue may potentially act as signposts for preceding intuitive sense-making. Locality/ Context: UK;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
37;Horwath - 2007 - The Missing Assessment Domain Personal, Professional and Organizational Factors Influencing Professional Judgements whe.pdf;PDF;184;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: the factors influencing practitioners’ approaches to the identification and referral of cases of child neglect are explored. Participants/ Sample: 794 professionals who worked directly with children Methodology: Quantitative Research tools: Questionnaire  Findings: it is not just the nature of the concern that influences referral practice but a range of other factors that are not related to the needs of the specific child.  Locality/ Context: Republic of Ireland;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
40;Jenney et al. - 2014 - Doing the right thing (Re) Considering risk assessment and safety planning in child protection work with domestic.pdf;PDF;158;Appr: MM Mixed Methods, Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: How both worker and client experiences of the process of risk assessment and safety planning influenced the course of the intervention Participants/ Sample: Child Protection Workers and Clients Methodology: Grounded Theory Research tools: Interviews Findings: workers and clients held a similar set of beliefs about the social construction/collective representation of woman abuse and the work of child protection Locality/ Context: Canada;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
41;Jent et al. - 2011 - Multidisciplinary child protection decision making about physical abuse Determining substantiation thresholds and b.pdf;PDF;270;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: the threshold at which multidisciplinary child protection team (CPT) professionals substantiate physical abuse allegations and the extent that they utilize potentially biased constructs in their decision making when presented with the same case evidence. Participants/ Sample: 257 Child Protection Professionals Methodology:  Quantitative Research tools: Vignettes Findings: Results of the study demonstrated relatively high agreement among professionals across vignettes about what constitutes physical abuse. Locality/ Context: USA;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
42;Jones - 1996 - Decision Making in Child Protection.pdf;PDF;126;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: concerns about the increasing numbers of children on the child protection register, increasing child protection workloads, and the difficulty in allocating a key worker to each child on the register Participants/ Sample: 701 decisions in child protection Methodology: Quantitative Research tools: Survey Findings: based on the risk factor weightings given by the independent auditors, workers were appropriately discriminat- ing between 'child protection' and 'child-care' cases Locality/ Context: UK;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
43;Keddell - 2011 - Reasoning Processes in Child Protection Decision Making Negotiating Moral Minefields and Risky Relationships.pdf;PDF;141;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: DF Decision Maker Factors, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: the reasoning processes of social workers in child protection social work as they make decisions Participants/ Sample: 19 CP professionals + 15 stakeholders Methodology: Qualitative  Research tools: Critical Incident Technique Findings: workers valued family main- tenance and sought to bolster this while managing potential risk Locality/ Context: New Zealand;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
45;Kirkman, Melrose - 2014 - Clinical judgement and decision-making in children’s social work An analysis of the ‘front door’ system..pdf;PDF;670;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: CF Case File Analysis, Tool: ET Interview, Focus Group, Observation;Aim/ Question: What behavioural factors affect social workers’ decisions at the ‘front door’ and how can we improve the ‘front door’ process to help social workers make better decisions? Participants/ Sample: Frontline Social Work Teams Methodology: Qualitative Research tools: Observation, Literature Review Findings: there were four key behavioural factors that complicate or reduce the efficiency of social workers’ ability to make often highly complex, challenging decisions Locality/ Context: UK;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
46;LeBlanc et al. - 2012 - Stress responses and decision making in child protection workers faced with high conflict situations.pdf;PDF;187;Appr: QT Quantitative Studies, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation, Tool: PT Psych. Test, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: The goal of this study was to assess the stress responses of child protection workers and their assessments of risk in high conflict situations. Participants/ Sample: 96 CP Workers Methodology: Quantitative Research tools: Simulations Findings: Participants demonstrated significant stress responses during the 1st scenario, regardless of whether the interview was confrontational or not. Locality/ Context: Canada;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
51;Moraes et al. - 2006 - Professionals’ decision-making in cases of physical punishment reported to child welfare authorities does famil.pdf;PDF;184;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: SA Statistical Analysis;Aim/ Question: influence of family poverty on professionals’ decision-making in cases of physical punishment reported to child welfare agencies was examined Participants/ Sample: Canadian Incidence Study of Reported Child Abuse and Neglect Approach: Quantitative Research tools: Statistical Analysis Findings: family poverty does not influence professionals’ decision-making in cases of physical punishment reported to child welfare agencies in Canada Locality/ Context: Canada;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
62;Roesch-Marsh - 2012 - Better together Learning lessons for group decision-making practice from a study of secure accommodation in Scotla.pdf;PDF;200;Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: factors that influence local decision-making in cases where a child or young person is being considered by residential workers, social workers and senior managers for placement in a secure unit Participants/ Sample:  Approach: Qualitative Research tools: Case Study, semit-structured interviews, observations Findings: findings of the study that relate to the impact of group membership, goals, roles and norms on group performance in such cases. Locality/ Context: Scotland;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
63;Saltiel - 2013 - Understanding complexity in families' lives The usefulness of 'family practices' as an aid to decision-making.pdf;PDF;135;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: CF Case Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: to explore the struggles workers have in assessing the complex and private nature of families’ lived realities. Participants/ Sample: 2 Social Work Teams, 17 interviews Approach: Qualitative Research tools: Contrasting Case Studies, Observations, in-depth semi-structured interviews Findings: ases that the local authority team worked with during the period of the study were characterized by significant degrees of uncertainty and complexity Locality/ Context: UK, Child Protection;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
65;Spratt - 2000 - Decision making by senior social workers at point of first referral.pdf;PDF;171;Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Europe, Rev: Included, Subj: OF Organisational Factors, Tool: CF Case File Analysis;Aim/ Question: if it might be possible to treat more initial referrals as ‘child-care problem enquiries’ as opposed to ‘child protection investigations’ Participants/ Sample: 200 new referrals Approach: Quantitative Research tools: Documentary Analysis Findings: a preoccupation with the manage- ment of risk could lead to the development of child-care problems receiving quasi-child protection responses Locality/ Context: Northern Ireland;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
66;Spratt, Devaney, Hayes - 2015 - In and out of home care decisions The influence of confirmation bias in developing decision supportive r.pdf;PDF;194;Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Europe, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: the aims of this study were to identify the themes Social Workers regard as important in supporting decisions to remove children from, or return them to, the care of their parents.  Participants/ Sample: 202 Social Workers Approach: Quantitative Research tools: A case study, comprising a two-part vignette with a questionnaire, recorded demographic infor- mation, child welfare attitudes and risk assessments, using scales derived from standardised instruments Findings: three underlying hypotheses were found to underpin decisions; (a) child rescue, (b) kinship defence and (c) a hedged position on calculation of risk subject to further assessment Locality/ Context: Northern Ireland";Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
68;Stokes, Schmidt - 2011 - Race, Poverty and Child Protection Decision Making.pdf;PDF;205;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: It is important to understand how issues of socio- economic status and race enter into child protection decisions. Participants/ Sample: 118 MCFD Social Workers Approach: Quantitative Research tools: Vignettes, factorial-survey Findings:  race and poverty were not statistically significant in any of the decisions made Locality/ Context: Canada;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
77;Wilkins - 2013 - Balancing Risk and Protective Factors How Do Social Workers and Social Work Managers Analyse Referrals that May Indicat.pdf;PDF;199;Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: how child protection social workers and social work managers analyse referrals Participants/ Sample: 18 CP Social Workers Approach: Qualitative Research tools: Interviews based on vignettes Findings: Three themes in particular are discussed—the balan- cing of risk, protective and resilience factors; the use of family history and the child’s wider circumstances; and ‘known’ and ‘unknown’ unknowns (‘missing information’).  Locality/ Context: UK";Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
86;Hetherton, Beardsall - 1998 - Decisions and attitudes concerning child sexual abuse Does the gender of the perpetrator make a difference.pdf;PDF;229;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;"Aim/ Question: An investigation was conducted into whether child protection investigators, specifically social workers and the police, are as likely to take seriously a case of child sexual abuse if it had been perpetrated by a female rather than a male.  Participants/ Sample: 65 Social Workers, 65 Police Officers Approach: Quantitative Research tools: Vignettes plus decision questionnaire Findings: Following male—rather than female—perpetrated sexual abuse, case registration and imprisonment of the perpetrator was considered more appropriate by all participant groups; male social workers also considered social services involvement and investigation as more appropriate. A substantial number of decisions concerning female perpetrated abuse were predicted by participants’ attitudes.  Locality/ Context: UK";Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
87;Ashton - 1999 - Worker judgements of seriousness about and reporting of suspected child maltreatment.pdf;PDF;111;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: This study examined the relationship between judgements about the seriousness of incidents of suspected maltreatment and the reporting of those incidents. Participants/ Sample: 86 graduate social work students Approach: Quantitative Research tools: 12 Vignettes Findings: This sample of beginning human service workers considered all of the incidents relatively serious. Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
88;Rossi, Schuerman, Budde - 1999 - Understanding decisions about child maltreatment.pdf;PDF;221;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: To understand how decisions are made in abuse/neglect cases by the child welfare system Participants/ Sample: 27 experts and 103 line workers Approach: Quantitative Research tools: Questionnaire, Case Summaries Findings: orkers and experts emphasized the same case characteristics in making their decisions, but the decisions were not well structured in the sense that they were not well predicted by case characteristics Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
89;JC et al. - 1999 - Disorder attribution and clinical judgment in the assessment of adolescent antisocial behavior.pdf;PDF;5;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: Implications of attributing this attribute for other clinical judgements?  Participants/ Sample: 250 MSW  Approach: Quantitative Research tools: Case Vignettes Findings: Internal dysfunction context is associated with a more negative prognosis.  Locality/ Context: USA;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
91;Daniel - 1999 - Beliefs in child care social work consensus and lack of consensus on issues of parenting and decision-making.pdf;PDF;125;Appr: QT Quantitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: explored social worker's beliefs and opinions about `good enough' parenting and about decision-making in child care and protection. Participants/ Sample: Qualified social workers from throughout Scotland who were students on post-qualifying courses. Approach: Quantitative Research tools: Questionnaire Findings: findings indicate confidence in the child care system and a consensus about damaging environments. Locality/ Context: Scotland;Stefan Kleipoedszus;11/03/2017;Stefan Kleipoedszus;28/03/2017;
