Number;Name;Text Content;Document;Codes;Number of Codes;Comment;Location;Creator;Creation Date;Modifier;Modification Date
10:255;Tables 2 and 3 show the results of the multinomial logistic regression analysis of placement prefere…;Tables 2 and 3 show the results of the multinomial logistic regression analysis of placement preferences of child welfare workers. Specifically, each table shows the effect of selected variables on the relative odds of one form of placement preference over the comparison preference of foster family or kinship care. For example, Table 1 shows the effect of selected child and family characteristics, as perceived by social workers, on the estimated relative odds that a social worker would prefer group care for a child as opposed to a foster or kinship home. The table shows the log-odds parameter estimates (Beta), the standard errors of the estimates, and the probability that the esti- mated values vary from zero by chance alone. The last column in the table converts the log-odds parameters into terms representing the estimated multi- plicative impact of each variable on the estimated relative odds of the pre- ferred placement being in group care as opposed to foster family/kinship care. A value greater than one indicates a greater estimated likelihood of a prefer- ence for group care over foster family/kinship care whereas a value less than;Courtney - 1998 - Correlates of social worker decisions to seek treatment-oriented out-of-home care.pdf;Structure: Findings Results;1;;start=1511 end=2666 startpage=12 endpage=12;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
13:126;The first task was to examine whether there are any differences in the child protection workers’ ass…;"The first task was to examine whether there are any differences in the child protection workers’ assessments of the children’s current and pre- dicted quality of life at home in the four fields, and whether the differences are the same for the children kept at home and those removed from home. To this end, a 2 x 2 x 4 MANOVA (2 groups x 2 times x 4 fields) was per- formed. Table 1 presents the means and standard deviations of the chil- dren’s quality of life in all four fields for the four groups, at the time of decision and as predicted if the child remains at home.The analysis yielded a significant difference between the two groups of children (F(1.160)=167,29; ~~001). Overall, the quality of life at the tune of the decision of the children kept at home was higher than that of the children who were removed (M=3.81; SD=.66 versus M=2.87; SD=.71).";Davidson-Arad - 2001 - Predicted Changes in Children's Quality of Life in Decisions Regarding the Removal of Children at Risk from their.pdf;Structure: Findings Results;1;;start=867 end=1727 startpage=5 endpage=5;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
13:127;"Significant differences were found among all the four fields (F(3,480)=196.56; fl.001). Post hoc She…";"Significant differences were found among all the four fields (F(3,480)=196.56; fl.001). Post hoc Sheffe tests showed that the chil- dren’s quality of life in the physical field was the highest (M=4.09; SD=.75). followed by the social field (M=3.41; SD=.71), and then the psy- chological (M=2.94; SD=.59) and cultural (M=2.95; SD=.64) fields. The last two differed significantly from the physical and social fields but not from one another.Three significant two way interactions were also obtained. group and time (F( 1,160)=82.89; p<.O 1); group and quality of life in the four fields (F(3,480)=6.32; p<.Ol); and time and field (F(3,480)=8.83; p<.O5). In addition, a three way interaction was found between the group, time, and field (F(3,480)=8.83; p<.OOl). Since this interaction includes all the two way interactions, it is sufficient to explain the three way interaction alone. To this end, post hoc Sheffe tests comparing the quality of life at the two times in each field in each of the two groups of children were performed. The tests yielded the following findings: Among the children who were kept at home, there were significant differences between their quality of life at the time of the decision and their predicted quality of life if they re- mained at home in the psychological, social, and cultural fields. As can be seen in Figure 1, in all three fields (jK.001 in all three fields), their future quality of life was expected to be significantly higher than their quahty of life at the time of the decision.";Davidson-Arad - 2001 - Predicted Changes in Children's Quality of Life in Decisions Regarding the Removal of Children at Risk from their.pdf;Structure: Findings Results;1;;start=574 end=2099 startpage=6 endpage=6;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
13:130;In order to examine the association between the cooperativeness of each of the parents and the socia…;"In order to examine the association between the cooperativeness of each of the parents and the social workers’ assessment of the child’s qual- ity of life at the time of the decision and prediction of the child’s future quality of life if he or she remained at home, a 2 x 2 MANOVA (moth- ers/fathers x decision) with repeated measures was carried out. The MANOVA examined (1) whether the parents of the children kept at home differed in cooperativeness from the parents of the children who were re- moved, and (2) whether the mothers and fathers differed in their coopera- tiveness. Results showed a sighificant difference between the parents of the two groups of children (F(1,118)=17.71; ~~01). As can be seen from Table 4, the parents whose children were kept at home were more coopera- tive than those whose children were removed from home.1. for this analysis, only the responses of child protection officers who had full data on two children -one who was kept at home and another who was re- moved (n=162) were used. The children whom data was provided (n=324) were then treated as subjects.A significant difference was also found between the mothers and fa- thers (F(1,118)=7.23; ~-01). The cooperation of the mothers in both groups was greater than that of the fathers. No significant interaction was found between the difference in gender of the parent and the decision. That is, in both groups, the difference between the mothers’ and fathers’ coop- eration was similar. *";Davidson-Arad - 2001 - Predicted Changes in Children's Quality of Life in Decisions Regarding the Removal of Children at Risk from their.pdf;Structure: Findings Results;1;;start=298 end=1783 startpage=9 endpage=9;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
13:133;These findings show an association between the workers’ decisions and the assessment of the child’s…;"These findings show an association between the workers’ decisions and the assessment of the child’s quality of life at home not only at the time of the decision but also in the future. These findings are consistent with various findings showing that the primary factor in the decisions of child protection officers is their prediction of the degree of risk that the child would face by remaining at home (Shapira & Benbenisty, 1993; Meddin, 1984).The fields most closely linked to the decision were the psychological and social. Among both groups of children, these are the fields where there were the largest disparities between the assessment of the quality of life at the time of the decision and the predicted quality of life at home. More- over, these fields best explained the child protection officers’ decisions.Two main reasons can be suggested for this emphasis. One is that most children who are referred to child protection agencies are not at risk of physical injury (Dolev & Rivkin, 1996; Mandel, Lehman & Yuille, 1994; Wells & Tracy, 1996). Indeed, in both groups, the children’s physical qual- ity of life was higher than that in the other three fields at both points of time.The other reason is that the literature on children at risk focuses on the psychological and social damage of their neglect or abuse. In the psycho- logical domain, repeated mention is made of narcissistic injuries to the children’s self-image, self-esteem, and self-confidence; and of the risk of depression, apathy, guilt, aggression, and defensiveness. In the social do- main, the difficulties of trusting others, of forming interpersonal relations both with their age mates and adults, and of assuming social roles have been noted (Bowlby, 1977; Dolev & Rivkin, 1996; Gizynsky, 1985; Green, 1978; Kinard, 1980; Rosenthal, 1988).The question arises as to why the cultural field - variables such as cul- tural activity, value adjustment, honesty, and having stable values - con- tributes less to the explanation of the child protection offricers’decisions. One wonders whether child protection workers believe that this area of life is less critical to children’s development.The findings also show that the cooperation of the parents was associ- ated both with the child protection officers’ assessments of the children’s quality of life at the two times and with their decisions. The quality of life of the children of the more cooperative parents was rated higher at the time of the decision and more likely to improve in the future than that of the children whose parents were deemed less cooperative. The children of the more cooperative parents were also more likely to be kept at home. These";Davidson-Arad - 2001 - Predicted Changes in Children's Quality of Life in Decisions Regarding the Removal of Children at Risk from their.pdf;Structure: Findings Results;1;;start=44 end=2741 startpage=12 endpage=12;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
13:134;findings are consistent with other studies showing that child protection workers are more inclined t…;"findings are consistent with other studies showing that child protection workers are more inclined to keep at home children of cooperative parents than of uncooperative ones (Shapira & Benbenisty, 1993; Meddin, 1984). They are also consistent with Alter’s (1985) finding that in cases where the child shows no clear physical injury, social workers use abstract variables such as the parents’ motivation to change in deciding whether or not the child has been neglected. In light of Alter’s finding, it may be suggested that the role of parental cooperativeness in this study is related to the fact that most of the children in the studywere not in physical danger.The association between parental cooperativeness and the workers’ de- cisions may be explained by the possibility that the workers view coopera- tive parents as more likely than uncooperative parents to make good use of the help offered them to improve -their parenting. This explanation is sup- ported by the differential patterns of association between the parents’ co- operativeness and the assessment of the children’s quality of life. Among the children who were kept at home, both the mother’s and father’s co- operativeness was associated with the children’s predicted quality of life. Among the children who were removed from home, the association was mainly with the quality of life at the time of the decision and mainly with the mother’s cooperativeness. That is, it seems that the child protection workers linked the cooperation of both parents of the children they decided to leave at home to expected improvements in the child’s quality of life. It may be that they assume that the parents’ cooperation with the help they are offered will bring about a higher quality of life for their children. This assumption is worth further study, as is the entire issue of the attributions that child protection workers make to parents.The main limitation of the study is its retrospective design. This design was used in order to examine the real decisions of virtually all the child protection officers in Israel. As a result, however, the possibility that the respondents provided retrospective justification for their decisions cannot be ruled out. At the same time, the findings do suggest that in making their decisions, child protection officers consider not only the child’s quality of life at the time of the decision but also the child’s future quality of life at home, It should be noted, however, that the questionnaire was answered anonymously about children who were equally anonymous to the re- searcher, so the workers had no need for defensive post-facto ratings. At the very least, the findings point to the things that the child protection offi- cers believe should guide their decisions. To clarify this issue, the author";Davidson-Arad - 2001 - Predicted Changes in Children's Quality of Life in Decisions Regarding the Removal of Children at Risk from their.pdf;Structure: Findings Results;1;;start=18 end=2828 startpage=13 endpage=13;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
13:135;is currently examining real time decisions in a smaller sample of child pro- tection officers. The l…;is currently examining real time decisions in a smaller sample of child pro- tection officers.The limitations notwithstanding, the findings contribute to our under- standing of the roles of expectation of improvement in children’s quality of life and parental cooperation in child protection workers’ decisions. Moreover, the findings suggest that child protection officers can use their assessments of the child’s quality of life at the time of the decision and of the expected quality of life at home in the future to distinguish between children they can keep at home in the expectation that their well being will improve and children that they have to remove from home because of the expectation that their already poor quality of life at home is likely to be- come even worse. It may be worth investigating the possibility of using the quality of life questionnaire as a risk assessment instrument.;Davidson-Arad - 2001 - Predicted Changes in Children's Quality of Life in Decisions Regarding the Removal of Children at Risk from their.pdf;Structure: Findings Results;1;;start=44 end=948 startpage=14 endpage=14;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
14:201;The other was in the level of cooperation with the social worker. As with the children (see Table 1)…;"The other was in the level of cooperation with the social worker. As with the children (see Table 1), parents for whose children the decision was implemented were significantly more cooperative than those for whose children the decision was not implemented (p < .01).Social workers’ features: To examine whether the implementation of the decision was related to features of the social worker, we examined the education, position, and years of experience of the workers in the two groups. A significant difference was found only in their years of experience (t = 2.33; df = 39; p < .05). The workers who implemented their initial decisions on removal had fewer years of experience (M = 4.04; SD = 2.25) than those who did not (M = 5.72; SD = 2.35).A discriminant function analysis was carried out to determine the total contribution of the above variables to the distinction between the children for whom the decision to remove was implemented (N = 21, information was missing for three children) and those for whom it was not (N = 16, information was missing for two children). The results yielded a significant discriminant function (χ2 = 23.52; df = 1; p < .001). The only significant contribution was the child’s cooperation with the social worker. This variable correctly classifies 91.2% of the children for whom the decision to remove was implemented and 75% of the children for whom the decision to remove was not implemented.";Davidson-Arad et al. - 2003 - Why social workers do not implement decisions to remove children at risk from home.pdf;Structure: Findings Results;1;;start=468 end=1903 startpage=5 endpage=5;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
16:318;Results of these analyses are presented as follows: (1) reliability analyses and frequency distribut…;Results of these analyses are presented as follows: (1) reliability analyses and frequency distributions of each section of the survey, (2) results of the PC analysis of the Removal Decisions scale, and (3) intercorrelations among the resulting scales.Reliability AnalysesTable 1 presents the reliability analyses of each section of the survey, including the number of items in each measure, the number of respondents, and Cronbach’s alpha for each.From the Cronbach’s alphas ( ̨), it can be seen that the pre-existing scales (Interpersonal Skills, Case Skills, Workload and Resources, and Supervision and Work Unit all had good to excellent internal consistency (with  ̨ ranging from .86 for Interpersonal Skills to .95 for Case Skills). The scale related to Community Services, though composed of only three items, also had good reliability ( ̨ = .87). Of the two components of the Removal Decisions section, component 1 had the better reliability ( ̨ = .76), which is good, compared to component 2 ( ̨ = .66), which is acceptable. Reliability of the Difficult Situations scale also was acceptable ( ̨ = .65). Reliability of the Disposition scale was too low ( ̨ = .33) to be useful. Of the two Liability subscales, Support had good reliability ( ̨ = .72), but reliability of the Worry scale was poor ( ̨ = .55), but may be useful for some purposes. Reliability of these two Liability subscales, though, as well as that of Difficult Situations, probably could be improved considerably in future research by the addition of more items, as these are only three to four item scales. The Disposition scale also is brief (3 items) but the reliability of it is so low that future work should, we suggest, include a fundamental reconsideration of the construct and how to measure it. The scale descriptive results shown in Table 2 demonstrate that the scale frequency distributions vary widely in form, most having distinctly non-normal character (as is seen in particular with reference to the skew and kurtosis statistics).Principal Components Analysis of Removal DecisionsAs indicated above, the PC analysis resulted in the extraction of two components from the Removal Decisions section, as shown in the pattern matrix of Table 3. These components were later characterized as an External Reference and Internal Reference to decision-making. Consideration of how these components were characterized is deferred until Discussion, but the content of each item is included in Table 3. It should be noted that the items within each component are sorted in descending order, so that the top items are most representative of the content of the scale as a whole. The PC-defined and the exclusively sorted/unit weighted versions of these scales both are highly correlated (  = .98), suggesting that the much simpler unit-weighted versions can be used for most purposes without a substantial loss of information. The scales themselves are significantly but only moderately correlated (  = .21 between the PC versions, and   = .35 between the unit- weighted versions).;Dettlaff et al. - 2015 - Development of an instrument to understand the child protective services decision-making process, with a focus.pdf;Structure: Findings Results;1;;start=1184 end=4245 startpage=5 endpage=5;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
18:246;THEORETICAL KNOWLEDGE Generally, taken as a group, novices and experts had at least some under- stan…;THEORETICAL KNOWLEDGEGenerally, taken as a group, novices and experts had at least some under- standing of the same range of theories, which is not surprising given their commonality of training. However, novices did not appear to have a compre- hensive understanding of each theory or to really understand how to apply the theory to practice. They often used theories 'after the fact' as a way of explaining why they had taken a particular course of action, rather than using theory consciously and deliberately at the time. They were also often ambi- valent about how useful social work theories were to practice and some cau- tioned against too heavy a reliance on any one theory as they considered that it was important to view each situation as individual and unique and not to allow theory to govern one's view of the world. Novices therefore frequently described their use of theory as unconscious rather than conscious.Probably crisis intervention model. I don't know if that's a social work theory but I would say that's probably what I used in this case, but not consciously. So I didn't take it into account when I was formulating my decision. And maybe I'd use a bit of family therapy too, but that wouldn't establish itself until later. At the moment it's just finding out if there's a big problem and fixing it up quickly, so that's crisis intervention . . . I haven't got enough experience in social work models and theories yet to know how appropriate or what level of knowledge you would need to have to be the best you could be (Subject 002).;Drury-Hudson - 1999 - Decision making in Child Protection The Use of Theoretical, Empirical and Procedural Knowledge by Novices and Expe.pdf;Structure: Findings Results;1;;start=1176 end=2738 startpage=4 endpage=4;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
18:249;relevant research in the area. Novices had generally read very little of the research in the area of…;relevant research in the area. Novices had generally read very little of the research in the area of child protection and therefore did not use this informa- tion when considering whether the children should be removed from home. Furthermore, novices reported that research articles were often difficult to understand and they often felt that research was too far removed from prac- tice. Novices particularly disliked research articles that reported detailed stat- istical tests and results.I don't know of any research I could draw on to support my decision. None whatsoever... . There are some articles that are really psychology based and that have lots of empirical theories and that sort of stuff and I find them a bit hard to read. I tend to just read the discussion because the stats don't mean that much to me. So if they're really psychology based then I don't like reading them (004).No I don't know of any research that I could draw on to make my decision so I'm not able to comment... . They [research articles] would help me slightly but I wouldn't rely on them because this is this situation and each situation is different .... They might be of some use but not a high use (008).While novices were often not aware of the research literature, experts were more aware of the research literature in relation to child maltreatment and did attempt to consciously employ this knowledge in their decision making.Yes they [research articles] are useful. A good example of this is that if you've got an injured baby and there is no one accepting responsibility for the injuries, and the medical diagnosis and opinion are that it is physical assault, and the family are saying that this is an accident, I think the research literature suggests that this is a dangerous situation if no one is accepting responsibility (010).An example of the type of research that I've read is the importance of children main- taining contact with their own families once they're in care. I've read about how neglect can be one of the most serious forms of abuse in terms of an hierarchy of abuse.... I know about the vulnerability of children of neglectful parents. Yes I think I did take it into account when making my decision and I think it was conscious (015).Table 2 summarizes the comments made in relation to empirical knowledge.;Drury-Hudson - 1999 - Decision making in Child Protection The Use of Theoretical, Empirical and Procedural Knowledge by Novices and Expe.pdf;Structure: Findings Results;1;;start=40 end=2371 startpage=8 endpage=8;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
18:250;Probably my assessment of the risk factors was one of the main factors which influ- enced my decisio…;Probably my assessment of the risk factors was one of the main factors which influ- enced my decision (001).I'd say the assessment of the risk factors involved was probably my main priority (002).However, eight of the ten novices assessed the neglect to the children as being relatively minor, or not as serious as sexual or physical abuse.I think that [risk] was very important in my decision. I'd suppose I'd made judgements about the resources for the mother, or the lack of these. And I've also made judge- ments about if they were there, the mother may be motivated to look after the kids. So I suppose that had a big bearing on not removing the children and the lack of seriousness in the sense that they weren't being left out in the cold all night (009). This is a problem of neglect... I'm not saying that it's not significant but the immedi- ate safety of the children is not jeopardised (007).I am not quite sure [if I would remove the children]. I guess the children are suffering more from neglect than anything . . . . The mother's not physically hurting them. It's more of a neglect situation (004).Statements such as this can be contrasted with those made by the experts in the study. The expert social workers were more likely to have a clearer understanding and knowledge of risk assessment and those factors most important in determining risk to the child. They were also more able to weigh up the risks to the children in the case study which led them to conclude that the situation was relatively serious.Yes, I identified lots of risk factors. The children's health problems, the diagnosis of pneumonia, the older children doing the parenting of the younger children, the mother being withdrawn, the older one seeming to choose not to go home after school, the mother's isolation, the fact that the mother doesn't seem to be a very powerful person, she's ended up without too many resources... . That, together with the children's presentation. What's most worrying is that she's not attending to quite a severe health problem, not thinking about what the children need. These risk factors were very important in influencing my decision. It makes it more urgent. It makes it easier to know that there is something that needs to be insisted on. (014)PROCEDURAL KNOWLEDGE—LEGISLATIONGenerally, novices reported that they knew very little about the legislation, apart from the basic philosophy underpinning the legislation, and 80 per cent stated that they knew very little about the evidence requirements for court. Therefore, novices did not take the legislation or the evidence requirements for court into account when making their decision. This was largely due to the fact that they felt that they did not have sufficient experience with court;Drury-Hudson - 1999 - Decision making in Child Protection The Use of Theoretical, Empirical and Procedural Knowledge by Novices and Expe.pdf;Structure: Findings Results;1;;start=23 end=2798 startpage=11 endpage=11;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
18:251;processes and found the legislation difficult to understand. This is highlighted in the following co…;processes and found the legislation difficult to understand. This is highlighted in the following comments.When you arc reading stuff about the legislation and people writing articles on that, it goes straight over your head because it's boring and you're not taking it in anyway (001).Legislation is often not user friendly and needs to have a handbook on how to interpret it (002).The legislative context defines the terms and conditions under which a child is considered to be in need of care and protection and outlines the authority under which child protection workers operate. It is therefore difficult to see how any reasonable decision can be arrived at without an understanding of the legislative framework. It is concerning that the majority of students enter child protection placements with very little understanding of the legal context they are operating within and they are only too happy to rely on co-workers to supply them with the information they need. This presupposes that all practising child protection workers possess a good understanding of the legis- lative framework, which is often not the case. Furthermore, it places students in a vulnerable and dependent role throughout the course of their placement, which does little to foster professional self-reliance and competence.This is a situation which should be remedied. Students need to be provided with at least a rudimentary understanding of the Children's Protection Act under which they work, prior to undertaking a placement in this area.While novices did not generally know a great deal about the legislation or the evidence requirements for court, the majority of them (80 per cent) stated that they felt that it was really important for people working in the area of child protection to have a good knowledge of the legislation:Well you need to very clearly know your limits from a legal point of view. You need to be very clear about what you can do and what you cannot do especially when you are considering removing children (003).In comparison, experts were much more aware of the principles, philosophy, investigative orders and powers that were a feature of the legislation and all (100 per cent) stated that they were very familiar with the evidence require- ments for court. Many experts spoke of having to give evidence in court or of writing reports for court.I know a lot about the evidence requirements because we see probably the most seriously injured children and so a lot of the children who I am involved with do end up in court cases. And it's not just the Youth Court but the Family Court and the Criminal Court as well. I spend a lot of time writing court reports and giving evidence in court (010).I think the evidence for court needs to be detailed and it needs to indicate quite clearly that the children's needs aren't being met and that the children's needs are unlikely to be met either (015).;Drury-Hudson - 1999 - Decision making in Child Protection The Use of Theoretical, Empirical and Procedural Knowledge by Novices and Expe.pdf;Structure: Findings Results;1;;start=40 end=2957 startpage=12 endpage=12;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
18:252;While experts generally considered that they had a good knowledge of child protection legislation an…;While experts generally considered that they had a good knowledge of child protection legislation and this exerted a conscious influence over their decision making, some experts also emphasized that this was not the primary influence in their final decision but their final decision was based on their own assessment of what needed to happen.I probably know quite a bit about the evidence requirements for court. That wouldn't have had much impact on my decision as it doesn't seem to me that we are at that point. We are not trying to prove a crime . . . we are not trying to get anyone to make a statement. You're miles away from a situation where you are seeking long-term guardianship and you're probably not even seeking a short-term order (012).I would say that I'm very up to date with the evidence requirements for court and, yes, it did have an impact on my decision because I knew that I would have to put up a very strong case to the court to get the children removed. However, it wouldn't mean to say that I wouldn't take that decision (017).PROCEDURAL KNOWLEDGE—ORGANIZA TIONAL POLICY AND PROCEDURESA tension frequently exists between professional autonomy and the environ- ment within which practice takes place. Research on professionals in organ- izations indicates discrepancies between professional and organizational expectations and goals (Dworkin, 1990). These goals are developed within the context of community expectations and organizational policy. Therefore, what in the professional's view may be in the best interests of the child is not the only factor influencing child protection decision making as workers are also bound by organizational policies and procedures. It is therefore important for child protection workers to have a good understanding of these forms of knowledge.Novices often felt very unclear about the definitions and differences between policy and procedures and often confused these with legislation. They also often found policies and procedures difficult to understand and were very reliant on their supervisor to inform them of any which existed and how these should be taken into account The following excerpts are fairly typical statements made by novices in relation to policies and procedures:I am not quite sure of the differences between policy and procedure (005).I didn't take them into account when I was forming my decision. I did take into account the practice papers on risk assessment but there would obviously be some other practice papers I could draw upon. But mostly the procedure would be known and is fairly well used in FACS [Family and Community Services]. But just the practice papers on risk assessment. It is conscious in that it's very present at the moment. It is conscious (006).I suppose I would draw on child protection policy if it is a policy. I'm not sure what;Drury-Hudson - 1999 - Decision making in Child Protection The Use of Theoretical, Empirical and Procedural Knowledge by Novices and Expe.pdf;Structure: Findings Results;1;;start=23 end=2876 startpage=13 endpage=13;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
20:128;Sample Demographic Characteristics The sample’s descriptive information is presented in Table 1. Ove…;"Sample Demographic CharacteristicsThe sample’s descriptive information is presented in Table 1. Over half of the sample (58.7%) was African American and one in four (25.6%) were White. The sample was evenly split between males (49.6%) and females (50.4%).Prevalence of Placement in Foster CareRoughly one in ten children (105 total) were placed into foster care during the follow-up period. The mean age of placement was slightly more than eight years old. Of those children who were placed, 29.5% (n = 31) were first placed at age 4 or 5, 27.6% (n=29) at age 6 or 7, 22.9% (n=24) at ages 8–11, 15.2% (n=16) at ages 12–15, and 4.8% (n=5) at age 16 or 17.Bivariate Within-Domain Multivariate Predictors of Foster Care EntryThe bivariate and within-domain predictors of entry into foster care are presented in the first two columns of Table 2. Among the child characteristics, there were no significant bivariate effects of demographic characteristics, behavioral prob- lems, or low birth weight/prematurity. Only Battelle Developmental Screening Test scores predicted foster care entry, with lower scores predicting higher risk of foster entry. Within-domain multivariate analyses produced similar findings (only lower Battelle scores predicted foster care entry). Although African American children were significantly less likely than white children to enter foster care, there was no significant overall effect of race/ethnicity.Among caregiver characteristics, there were no significant bivariate or multivariate effects of physical health, adult history of victimization, or parenting attitudes. There were significant bivariate effects of both childhood physical victimization and childhood sexual victimization, although these were no longer significant in within-domain multivariate analyses. Significant bivariate effects of both alcohol use and depression symptoms persisted in within-domain multivariate analyses; caregivers with more alcohol use and with more depressive symptoms were more likely to have their children enter foster care.Among the family microsystem variables examined, none predicted entry into foster care in the bivariate analyses. The same was true of the multivariate analyses within the family microsystem class of variables. This could be due in part to the relatively small sample size.Among the macrosystem variables examined, there was no significant effect of neighborhood satisfaction. However, both low social support and caregiver’s receipt of mental health services predicted foster care entry. Both of these variables remained significant in the multivariate analysis within macrosystem.Finally, children’s early maltreatment experiences were examined. In bivariate analyses, children who had past reports of neglect, physical abuse, and emotional maltreatment were at elevated risk for entry into foster care. In addition, more severe experiences of maltreatment were associated with risk for entry into foster care, as were number of reports. There was no significant effect of early reports of sexual abuse. In the multivariate analysis within early maltreatment, only emotional maltreatment and number of early CPS reports significantly predicted entry into foster care.Omnibus Multivariate Predictors of Entry into Foster CareAll of the variables that were significant in the domain multivariate analyses were entered into an omnibus Cox survival regression: child Battelle Developmental Screening Test, caregiver alcohol use, caregiver depressive symptoms, caregiver mental health care, early emotional maltreatment, and number of early reports of maltreatment. This analysis is presented in";English, Thompson, White - 2015 - Predicting risk of entry into foster care from early childhood experiences A survival analysis using L.pdf;Structure: Findings Results;1;;start=1557 end=5208 startpage=4 endpage=4;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
21:331;The effects of heuristics on the subjective risk assessment We hypothesised that the objective level…;"The effects of heuristics on the subjective risk assessmentWe hypothesised that the objective level of risk would significantly influence the risk level evaluated by the respondents (subjective risk assessment). Indeed, the highest average of subjective risk assessment was for the high-risk group (M1 1⁄4 3.95; SD1 1⁄4 0.98), followed by the averages of the ambiguous- risk cases (M2 1⁄4 2.75; SD2 1⁄4 1.13), and finally the no-risk cases (M3 1⁄4 0.54; SD3 1⁄4 0.639). The differences between each pair of averages were significant (high-risk–ambiguous-risk: t 1⁄4 13.18, p , 0.001; ambiguous-risk–no-risk: t 1⁄4 26.36, p , 0.001).Furthermore, in comparing the assessment variances for each risk level, we found the highest for ambiguous risk, followed in descending degree of vari- ance by high-risk and no-risk. Levine’s test of difference between variances indicates that the differences are significant: ambiguous-risk–high-risk, F(422, 210) 1⁄4 1.34, p , 0.01; ambiguous-risk–no-risk, F(422, 211) 1⁄4 3.13, p , 0.001; high-risk – no-risk, F(210, 211) 1⁄4 2.34, p , 0.001. These findings imply that, particularly in the ambiguous cases, other factors such as heuristic thinking may influence the social workers’ professional judgement.To estimate the effects of heuristics (the child’s SES and ethnic origin) on the respondents’ subjective risk assessment, which we controlled for inter- vening effects of professional and personal characteristics, we conducted multiple regression models with subjective risk assessment as the dependent variable; three regression models were estimated, one for each level of ob- jective risk. The results presented in Table 1 indicate that being poor is per- ceived as a serious risk factor for children, even in no-risk cases, and the effect increases as the level of objective risk increases. Ethnicity was a signifi- cant factor only in cases of ambiguous risk, when social workers are faced with uncertainty.The effects of heuristics on social workers’ recommendations for out-of-home placementsNo out-of-home placement recommendations were made for the no-risk cases; 12 per cent of the ambiguous-risk cases and, interestingly, 56 per cent of the high-risk cases were recommended for out-of-home placement. The differences between the three risk levels were significant (x2(2) 1⁄4 245.62; p , 0.001). As hypothesised, we found that as the objective level of risk to the child increases, out-of-home placement is more likely to be recom- mended. We then hypothesised that the respondents’ heuristics influenced";Enosh, Bayer-Topilsky - 2015 - Reasoning and bias Heuristics in safety assessment and placement decisions for children at risk.pdf;Structure: Findings Results;1;;start=255 end=2814 startpage=7 endpage=7;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
21:332;their decision for out-of-home placements in ambiguous objective risk cases and, conversely, in case…;"their decision for out-of-home placements in ambiguous objective risk cases and, conversely, in cases of unambiguous risk level, the respondents’ heuristic thinking had little or no impact on their professional decision. To test this hy- pothesis, we performed a chi-square test for each heuristic (SES and ethnic origin) at the high-risk and ambiguous-risk levels.Since none of the low-risk cases was recommended for out-of-home place- ment, there was no need for further analysis at this level. The findings sum- marised in Table 2 show that the recommendations for out-of-home placements in ambiguous-risk cases are significantly higher in low-SES cases compared with moderate-high-SES cases (20.4 per cent versus 3.3 per cent; p , 0.001, respectively) and for children of Mizrahi ethnic origin com- pared with those of Ashkenazy ethnic origin (15.1 per cent versus 8.5 per cent, p , 0.05, respectively). However, to our surprise, we found that the social workers also recommended more out-of-home placements for high-risk, low-SES cases compared with high-risk, moderate-high-SES cases (86.67 per cent versus 26.42 per cent, p , 0.001, respectively). The findings also revealed a trend for more out-of-home placement recommendations for Mizrahi children at high risk compared with Ashkenazy children at high risk (53.4 per cent versus 59.3 per cent, respectively). This difference was not statistically significant.To examine the effects of biases on the likelihood to recommend an out-of-home placement, we conducted a logistic regression analysis for each of the two objective risk levels—ambiguous and high. These results are presented in Table 3.Table 3 demonstrates that, for ambiguous-risk levels, the child’s SES and ethnic origin predict the social worker’s recommendation for an out-of-home placement: children from low-SES families at ambiguous risk are about 2.5 times more likely to be removed than children who are at the same risk level but from moderate-high-SES families. Children at ambiguous risk";Enosh, Bayer-Topilsky - 2015 - Reasoning and bias Heuristics in safety assessment and placement decisions for children at risk.pdf;Structure: Findings Results;1;;start=789 end=2810 startpage=8 endpage=8;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
